Token Name,Price (USD)
Bitcoin,63488
Ethereum,2463.88
Tether,0.998742
BNB,573.3
Solana,148.13
USDC,0.998329
XRP,0.540034
Lido Staked Ether,2464.58
Dogecoin,0.11182
TRON,0.155829
Toncoin,5.26
Cardano,0.357186
Avalanche,27.09
Shiba Inu,1.80E-05
Wrapped stETH,2921.49
Wrapped Bitcoin,63487
WETH,2468.99
Chainlink,11.47
Bitcoin Cash,329.43
Polkadot,4.2
Dai,0.999224
NEAR Protocol,5.23
Sui,2.06
Uniswap,7.37
LEO Token,6.02
Litecoin,65.61
Bittensor,622.7
Pepe,1.04E-05
Aptos,8.59
Wrapped eETH,2589.53
Artificial Superintelligence Alliance,1.52
Internet Computer,8.33
Kaspa,0.143357
POL (ex-MATIC),0.383178
Ethereum Classic,18.75
Stellar,0.091676
Monero,147.35
dogwifhat,2.72
Stacks,1.81
First Digital USD,0.995203
OKB,41.77
Ethena USDe,0.998678
Immutable,1.52
Aave,150.18
Filecoin,3.77
Cronos,0.079931
Render,5.44
Optimism,1.69
Injective,21.23
Hedera,0.054075
Arbitrum,0.562126
Mantle,0.603764
VeChain,0.02352394
Fantom,0.679011
Cosmos Hub,4.61
THORChain,5.21
WhiteBIT Coin,11.61
The Graph,0.172651
Bonk,2.24E-05
Sei,0.439728
Binance-Peg WETH,2460.09
Bitget Token,1.067
FLOKI,0.00014272
Popcat,1.39
Rocket Pool ETH,2769.28
Theta Network,1.33
Arweave,19.48
Maker,1402.78
Pyth Network,0.336874
Mantle Staked Ether,2567.06
MANTRA,1.42
Helium,7.03
Solv Protocol SolvBTC,63386
Celestia,5.51
Gate,8.89
Jupiter,0.794131
Ondo,0.733593
Algorand,0.12701
Polygon,0.380645
Worldcoin,1.98
Quant,68.48
Lido DAO,1.1
JasmyCoin,0.02004401
KuCoin,8.05
Bitcoin SV,46.41
BitTorrent,9.33E-07
Brett,0.090711
Core,0.95636
GALA,0.02175299
Wormhole,0.3301
Fasttoken,2.58
Notcoin,0.00826284
ether.fi Staked ETH,2463.29
Flow,0.5469
Conflux,0.185787
Beam,0.01593459
Ethena,0.296374
Renzo Restaked ETH,2520.5
Aerodrome Finance,1.25
Starknet,0.40231
Marinade Staked SOL,181.99
Klaytn,0.133309
ORDI,36.6
Flare,0.0153985
USDD,0.997435
NEO,10.39
PayPal USD,0.998821
EOS,0.479433
Axie Infinity,4.75
MultiversX,25.91
Nervos Network,0.01574402
Mog Coin,1.80E-06
eCash,3.51E-05
Tokenize Xchange,8.6
Tezos,0.671618
Neiro,0.00159576
Eigenlayer,3.52
Tether Gold,2640.43
cat in a dogs world,0.0072551
Frax,0.995331
Pendle,3.98
Mina Protocol,0.540542
Arbitrum Bridged WBTC (Arbitrum One),63295
Akash Network,2.52
The Sandbox,0.259438
SATS (Ordinals),2.91E-07
Kelp DAO Restaked ETH,2530.93
dYdX,0.910067
Chiliz,0.064036
Ronin,1.63
Ethereum Name Service,17.26
NEXO,1.004
Decentraland,0.296418
AIOZ Network,0.488698
Lombard Staked BTC,63498
Arbitrum Bridged WETH (Arbitrum One),2465.71
PancakeSwap,1.9
Axelar,0.646772
SuperVerse,1.12
PAX Gold,2650.67
ApeCoin,0.752649
Terra Luna Classic,8.87E-05
Jupiter Staked SOL,155.13
Coinbase Wrapped Staked ETH,2673.51
TrueUSD,0.995429
Synthetix Network,1.49
LayerZero,4.37
ZKsync,0.131703
Raydium,1.83
Oasis,0.070609
DeXe,8.29
Gigachad,0.04946286
L2 Standard Bridged WETH (Base),2465.9
Echelon Prime,9.81
BOOK OF MEME,0.00675148
Safe,0.945085
Blur,0.234152
Livepeer,12.74
Astar,0.061102
Zcash,29.2
Trust Wallet,1.057
IOTA,0.126246
Metaplex,0.442128
Beldex,0.065518
Frax Ether,2463.98
XDC Network,0.02902422
L2 Standard Bridged WETH (Blast),2467.98
Celo,0.775511
Gnosis,165.11
Arkham,1.52
Bridged USDC (Polygon PoS Bridge),0.999376
Turbo,0.00616289
SPX6900,0.448148
dYdX,0.910897
Theta Fuel,0.061756
DOG•GO•TO•THE•MOON (Runes),0.00403065
APENFT,4.07E-07
USDB,0.98226
Bitcoin Gold,22.53
Compound,44.48
ConstitutionDAO,0.076655
ALEO,3.63
GMT,0.133852
EthereumPoW,3.51
Osmosis,0.550914
Dogs,0.00073643
Reserve Rights,0.0072836
PepeCoin,3.13
Kava,0.342552
Binance-Peg BUSD,0.997261
Polygon PoS Bridged WETH (Polygon POS),2469.45
IoTeX,0.03820074
Bitcoin Avalanche Bridged (BTC.b),63527
Coinbase Wrapped BTC,63546
SafePal,0.71501
Super OETH,2471.81
Ondo US Dollar Yield,1.052
1inch,0.264795
Baby Doge Coin,2.18E-09
WEMIX,0.818608
Golem,0.336077
Dymension,1.58
Staked Frax Ether,2711.95
WOO,0.175813
SingularityNET,0.655331
Swell Ethereum,2635.96
Curve DAO,0.26198
Hamster Kombat,0.00489334
Amp,0.00388248
QuantixAI,79.89
Aevo,0.35019
Stader ETHx,2568.83
MX,3.1
Manta Network,0.771454
Osaka Protocol,3.82E-07
Dash,24.18
Memecoin,0.01050606
Holo,0.00162174
Kusama,18.51
Verus,3.71
Ultima,7031.3
CorgiAI,0.00083347
Usual USD,0.997602
Ether.fi,1.5
JUST,0.02881455
Siacoin,0.00490811
ZetaChain,0.607858
Zilliqa,0.01469794
Saga,2.68
cWBTC,1274.88
0x Protocol,0.324113
Ankr Network,0.02744486
aelf,0.377242
AltLayer,0.118355
CoinEx,0.097877
Jito,2.06
Galxe,2.06
Enjin Coin,0.151533
Polymesh,0.240476
Basic Attention,0.176299
Illuvium,38.14
Qtum,2.48
Terra,0.378567
Non-Playable Coin,0.03184622
Gas,3.93
Polygon Bridged WBTC (Polygon POS),63402
BENQI Liquid Staked AVAX,31.78
Sundog,0.247642
Aragon,6.24
Avail,0.137451
Avail,0.137451
Olympus,15.24
Ravencoin,0.01696045
Threshold Network,0.02441743
tBTC,63415
Mask Network,2.4
UMA,2.88
Aethir,0.058441
Liquid Staked ETH,2610.78
Chia,16.77
Quorium,2639.06
Rocket Pool,10.59
Mantle Bridged USDT (Mantle),0.995935
Metis,35.9
Simon's Cat,3.21E-05
GMX,22.19
Qubic,1.88E-06
OriginTrail,0.526812
Ocean Protocol,0.654532
OUSG,108.28
Bitkub Coin,2.37
Tribe,0.460904
Binance-Peg Dogecoin,0.111916
Delysium,0.184505
HarryPotterObamaSonic10Inu (ETH),0.206127
Ecoin,0.0004477
MMX,1.39
MimbleWimbleCoin,18.63
Flux,0.54729
Decred,12.23
PAAL AI,0.232658
Nexus Mutual,55.76
Biconomy,0.222563
SKALE,0.03776595
Blast,0.00941108
Rollbit Coin,0.080716
Arbitrum Bridged USDC (Arbitrum),0.996591
MAGA,4.23
Sun Token,0.01951984
Yield Guild Games,0.493114
Bridged Ether (StarkGate),2466.52
Fwog,0.191167
Goldfinch,2.21
io.net,1.94
Wrapped Beacon ETH,2591.6
Apu Apustaja,0.00055822
usdx.money USDX,1.002
COTI,0.102454
Radix,0.01658034
Centrifuge,0.349518
Ether.fi Staked BTC,62971
Gomining Token,0.411958
cETH,49.5
PONKE,0.313179
yearn.finance,5067.65
Hivemapper,0.062771
Frax Share,2.06
Tellor Tributes,64.41
Ontology,0.185065
Band Protocol,1.15
SwissBorg,0.168379
Banana Gun,47.91
Alchemix USD,0.989127
Convex Finance,2
Audius,0.128419
SSV Network,22.76
API3,1.39
Harmony,0.01312211
CHEX Token,0.162187
SPACE ID,0.373047
NEM,0.017893
Kadena,0.547608
PUPS•WORLD•PEACE,0.159159
Creditcoin,0.420648
Wexo,3.04
GHO,0.998741
Casper Network,0.01275557
Loopring,0.125681
VeThor,0.0019079
michi,0.278896
Chromia,0.185932
Arcblock,1.57
Wrapped Ether (Mantle Bridge),2469.18
Moonbeam,0.169502
sudeng,0.01529594
Reef,0.00659044
Solar,0.240532
Civic,0.182955
Mythos,0.200873
Nosana,1.75
ANDY ETH,0.0001448
Orbs,0.03344429
Elixir deUSD,0.997334
Sushi,0.751052
Solayer Staked SOL,152.56
ICON,0.140879
Zentry,0.02393373
Venom,0.077627
Open Campus,0.541953
Degen (Base),0.00832766
Zignaly,0.098543
Maple,17.57
LCX,0.178089
Drift Protocol,0.586551
Alephium,1.56
Kelp Gain,2515.03
STASIS EURO,1.098
Ozone Chain,0.237285
TerraClassicUSD,0.02306638
OKT Chain,7.5
Lisk,0.825486
BasedAI,3.73
BounceBit,0.323631
Big Time,0.116911
Telos,0.308428
Cronos Bridged USDC (Cronos),0.997672
Merlin Chain,0.261878
Taiko,1.66
MUMU THE BULL,5.42E-05
Polygon PoS Bridged DAI (Polygon POS),0.998335
JOE,0.339801
Renzo Restaked LST,2916.56
Aleph Zero,0.379523
0x0.ai: AI Smart Contract,0.140248
H2O Dao,0.151231
Horizen,7.97
Metars Genesis,1.46
Ontology Gas,0.313151
Vanar Chain,0.08763
Orca,2.34
Xai,0.211517
Balancer,2.02
Venus,7.43
PUPS (Ordinals) [OLD],15.62
Blox,0.179234
ETHPlus,2508.71
Kinesis Silver,31.97
IQ,0.00624255
Escoin,0.646542
WAX,0.03377194
Telcoin,0.00152356
Kinesis Gold,84.95
DigiByte,0.00678429
ChainGPT,0.15675
Nano,0.873448
Neutron,0.406452
WHY,2.75E-07
Kamino,0.084539
Solidus Ai Tech,0.108495
Powerledger,0.21544
Numeraire,15.34
Waves,1.13
Smoking Chicken Fish,0.109319
NetMind Token,2.73
iExec RLC,1.52
BORA,0.100085
StakeWise Staked ETH,2551.11
DOLA,0.997907
Cartesi,0.130568
Pax Dollar,0.997732
VVS Finance,2.29E-06
Pundi X,0.413366
L2 Standard Bridged WETH (Optimism),2464.44
Phoenix,2.06
Bone ShibaSwap,0.422358
TrueFi,0.085006
Wrapped QUIL,0.293411
Coin98,0.127209
Catizen,0.505017
Velo,0.0141818
ECOMI,0.00038645
BitMart,0.307721
Pixels,0.134806
Oraichain,6.3
Synapse,0.471562
Moca Coin,0.09078
Function X,0.135349
pumpBTC,63173
Moo Deng,0.10267
Paycoin,0.099359
Songbird,0.00676669
Tokenlon,0.880473
Across Protocol,0.245813
Helium Mobile,0.00100159
Smooth Love Potion,0.00242502
Artificial Liquid Intelligence,0.01218059
Coq Inu,1.44E-06
Clearpool,0.146723
Prom,5.4
Bridged Wrapped stETH (Gnosis),2911.44
Marlin,0.01215943
Stratis,0.050063
UXLINK,0.577228
Spectral,8.13
Dusk,0.209749
IX Swap,0.543294
Alchemy Pay,0.0197206
IOST,0.00514938
MVL,0.00375893
Magic,0.358065
Baby BNB,0.095798
NKYC Token,23.64
Omni Network,9.12
RETARDIO,0.094639
Seedify.fund,1.49
Status,0.02369539
Standard Bridged USDC.e (Optimism),0.997571
Tron Bull,0.093773
My Neighbor Alice,1.013
Bitcoin Wizards,4.43
Mother Iggy,0.093686
ANyONe Protocol,1.15
dKargo,0.02141176
Mines of Dalarnia,0.147763
Acet,0.04180465
RSK Infrastructure Framework,0.090852
Universal ETH,2640.77
Hive,0.197843
Boba Network,0.227355
Moonriver,9.66
Bounce,13.64
Tectum,11.62
DODO,0.121876
Constellation,0.02487767
Cronos Bridged USDT (Cronos),0.997356
TruFin Staked APT,8.75
FU,0.00018549
Hooked Protocol,0.442181
Moonwell,0.03033108
STP,0.04447565
Myro,0.086093
PHALA,0.113784
XYO Network,0.0061705
ARK,0.472176
Steem,0.181433
MiL.k Alliance,0.219447
Ardor,0.085981
Liquity,0.881997
WINkLink,8.60E-05
Fusionist,2.19
Zano,5.9
DIA,0.769724
SuperRare,0.119225
Instadapp,1.026
THORSwap,0.448978
Daddy Tate,0.141294
TokenFi,0.0489191
Huobi,0.523871
MOO DENG,0.00019152
Velodrome Finance,0.100633
Dent,0.00086791
Toshi,0.0001958
RSS3,0.121685
Tribal Token,1.043
EURC,1.096
inSure DeFi,0.00309863
Radiant Capital,0.071638
Spell,0.00054426
Wen,0.00011136
Medibloc,0.00898506
Nakamoto Games,1.25
CYBER,3
Overnight.fi USD+,0.996694
Optimism Bridged WBTC (Optimism),63316
AI Companions,0.088476
Syscoin,0.101117
Crown by Third Time Games,0.387574
Maverick Protocol,0.18347
Bazaars,6.74
Dione,0.00832694
Stride,0.851881
Kyber Network Crystal,0.45991
BTSE Token,0.481729
Treehouse ETH,2832.73
bemo Staked TON,5.45
Ronin Bridged WETH (Ronin),2464.51
Radio Caca,0.00019542
Islamic Coin,0.066367
Cudos,0.01032859
USDX,0.683068
Satoshi Airline,0.962574
Origin Ether,2462.36
Matr1x Fire,1.12
Bybit Staked SOL,151.98
ALEX Lab,0.094521
ArbDoge AI,4.00E-10
Slerf,0.149017
Shentu,0.549409
Covalent X Token,0.088168
Adventure Gold,0.964773
PeiPei,1.75E-07
Request,0.096436
Aurora,0.14221
Humans.ai,0.01178596
Gemini Dollar,0.995108
Wilder World,0.262534
SmarDex,0.008402
Hoppy,0.00017283
Purr,0.121305
ApeX,1.51
DAO Maker,0.287252
Everscale,0.03624979
Cloud,0.397976
Myria,0.00299945
MCOIN,0.401339
Neiro on ETH,0.070845
Milady Meme Coin,8.00E-08
BakerySwap,0.24323
CoW Protocol,0.270558
Loom Network (NEW),0.056042
Hashflow,0.152438
Liquity USD,0.997072
Celer Network,0.0122571
BUSD,0.994775
Metal DAO,0.97377
Ampleforth,1.21
Gains Network,2.03
Decentralized Social,6.53
Zebec Network,0.00108831
Avalanche Bridged WETH (Avalanche),2475.01
Hifi Finance,0.487419
Polyhedra Network,1.13
Dogelon Mars,1.23E-07
Snek,0.00090996
BENQI,0.01374318
YES Money,3.46
Gearbox,0.00667385
Binance Staked SOL,149.42
KOGE,19.25
XPLA,0.09566
StormX,0.00592944
AI Analysis Token,0.638602
MAGA Hat,0.0001592
Unizen,0.094393
Marblex,0.376773
Renzo,0.03964036
QuarkChain,0.00924861
Vulcan Forged,2.73
Tethereum,0.067751
Acala,0.05972
Energy Web,1.23
Spiko EU T-Bills Money Market Fund,1.12
LeverFi,0.00191758
Krypton DAO,0.623099
NFPrompt,0.21671
BOBO Coin,9.55E-07
Verge,0.00384168
LandWolf,7.04E-05
SportPoint,0.100163
Oasys,0.03411878
Pocket Network,0.03732594
Puff The Dragon,0.069464
Clash of Lilliput,0.760477
TruFin Staked MATIC,0.406767
Keep Network,0.112805
crvUSD,0.996611
Bancor Network,0.493777
Lista DAO,0.341245
Stargate Finance,0.298434
BILLION•DOLLAR•CAT (Runes),0.061138
Stader MaticX,0.43197
Verum Coin,636.02
Gods Unchained,0.186753
MELD,0.01466799
Hunt,0.295205
Secret,0.200856
Nym,0.073022
WaterNeuron,0.50268
Euler,3.13
GamerCoin,0.093787
Karrat,0.491323
Autonolas,1.25
Cetus Protocol,0.179799
GameBuild,0.00362436
Maya Protocol,0.571922
Hippocrat,0.055192
Bityuan,0.087522
Virtuals Protocol,0.056906
Gems VIP,0.143619
Propy,0.980888
Origin Token,0.084647
NKN,0.072751
Wojak,0.00082189
Tokamak Network,1.16
Storj,0.391371
Shadow Token,0.34862
WazirX,0.121785
Pangolin,0.254934
REI Network,0.057136
Giko Cat,5.55
Poollotto.finance,3.48
Magic Internet Money (Ethereum),0.994234
Badger,2.77
Solana Name Service,0.259024
Sleepless AI,0.421033
NodeAI,0.565726
OctaSpace,1.61
Keyboard Cat (Base),0.00549803
Anzen USDz,0.998438
Access Protocol,0.00153869
Ergo,0.705071
TARS AI,0.124649
Sweat Economy,0.00654276
A3S,0.227388
Bifrost,0.03916862
Star Atlas,0.00317944
Mobox,0.137575
Forta,0.115588
Binance-Peg Avalanche,27.05
Bluzelle,0.1233
Radworks,1.074
Vyvo Smart Chain,0.0139711
HashAI,0.00059479
Dimitra,0.095489
PlatON Network,0.00874969
LTO Network,0.121884
Stella,0.058865
ViciCoin,20.16
Monkey Pox,0.051954
The Doge NFT,0.00350171
RabBitcoin,4.05E-06
META,2435.2
LUKSO,1.67
Avalanche Bridged USDC (Avalanche),0.998599
Stafi,0.340289
Bit2Me,0.01020098
MovieBloc,0.00280178
Aergo,0.107741
Cobak,0.568954
PepeFork,1.50E-07
Star Atlas DAO,0.185658
Zeus Network,0.293222
Dora Factory,0.04918135
Portal,0.293746
DexTools,0.621824
OmniFlix Network,0.127677
Bellscoin,0.967912
cUSDC,0.02411363
Aavegotchi,0.94029
Frontier,0.536644
Lift Dollar,1.001
Tenset,0.286826
Mountain Protocol USD,0.997957
QANplatform,0.02799865
zkSync Bridged USDC (zkSync),0.999895
Fud the Pug,8.19E-07
Railgun,0.817015
Metadium,0.02766928
Loom Network (OLD),0.056191
MAP Protocol,0.00912847
BLUB,1.43E-07
LimeWire,0.156203
Alien Worlds,0.01002312
Billy,0.04680957
UXD Protocol,0.01474624
Zero1 Labs,0.458106
NEURALAI,4.5
Mainframe,0.00479264
Tensor,0.357656
Manta mETH,2464.91
MANEKI,0.00503716
Victoria VR,0.00648511
Orchid Protocol,0.074759
Ethernity Chain,1.99
Iagon,0.117441
Ribbon Finance,0.351548
Propbase,0.117863
Bitget Wallet Token,0.302341
Shardus,0.097847
Automata,0.080506
Tokemak,0.547202
Kendu Inu,4.34E-05
TOKPIE,0.539287
Heroes of Mavia,1.35
Societe Generale-FORGE EURCV,1.098
Perpetual Protocol,0.577978
Sidus,0.00381919
LooksRare,0.04210072
Geodnet,0.287919
Gitcoin,0.688361
LOCK IN,0.04211864
NAVI Protocol,0.170746
enqAI,0.04196552
Opulous,0.083161
ZynCoin,0.04575756
Wrapped NXM,54.89
OMG Network,0.294091
Onyxcoin,0.00134026
ECOx,0.118061
Eigenpie,4.08
Avalanche Bridged WBTC (Avalanche),63413
Chainflip,1.15
Kujira,0.333508
Electroneum,0.0022754
Shuffle,0.391584
CargoX,0.242902
AUSD,0.998879
APF coin,0.735993
Elastos,1.82
Sanctum Infinity,183.99
Sanctum Infinity,184.33
Spiko US T-Bills Money Market Fund,1.019
Web 3 Dollar,1.018
Slash Vision Labs,0.00804474
FEED EVERY GORILLA,0.00039787
Wrapped eHMND,0.099248
Murasaki,0.691145
ARPA,0.04011512
Cream,17.05
Clore.ai,0.092063
AxonDAO Governance Token,0.213685
Boson Protocol,0.288898
Commune AI,0.317585
PunkCity,1.25
GoGoPool,5.5
Ice Open Network,0.00568246
ThunderCore,0.0034309
Agoras: Currency of Tau,2.14
Beta Finance,0.04491134
Snowbank,241.46
Matr1x,0.295197
TempleDAO,1.6
Bridged USDC (Base),0.999587
Cortex,0.170336
Whiteheart,4266.63
Helium IOT,0.00120205
Lista USD,1.002
Burn,2.09
Ankr Staked ETH,2895.49
Pirate Nation Token,0.172822
ORIGYN Foundation,0.004495
Sai,13.85
MEMES•GO•TO•THE•MOON (Runes),0.00037255
Viction,0.378437
zkRace,0.156934
Litentry,0.641081
PaLM AI,0.478464
Strike,6.91
Contentos,0.00712367
Ren,0.03680014
Joe Coin,0.03522965
DeGate,0.094676
Wrapped Centrifuge,0.350633
Cheems Token,1.66E-07
MATH,0.204563
cDAI,0.02381037
NULS,0.331415
Self Chain,0.376069
Alkimi,0.191063
Steem Dollars,2.66
BIM,1.14
TriasLab,3.61
Binance-Peg DAI,1.001
Komodo,0.256201
Polymath,0.03994421
Vtrading,0.03543385
FUNToken,0.0033738
mini,0.04000397
Celo Dollar,1
Pirate Chain,0.179962
JPEG'd (OLD),0.00050767
Jen-Hsun Huang,3.51E-06
Parcl,0.224206
COCO COIN,0.00102428
WUFFI,4.14E-07
Firmachain,0.03841585
Gold DAO,0.0495158
Pixer Eternity,0.01616577
DIMO,0.146683
Seamless Protocol,1.33
Marinade,0.124689
Wanchain,0.174651
MakerDAO Arbitrum Bridged DAI (Arbitrum One),1.001
Clover Finance,0.03454617
Flamingo Finance,0.05473
Skey Network,0.04763865
ChainSwap,0.03602511
Swell Restaked BTC,61577
Fidu,0.704511
Sologenic,0.084125
Doland Tremp,0.334971
Concordium,0.00336072
IDEX,0.03808605
Ampleforth Governance,2.93
Ultra,0.084439
Mister Miggles,0.03459677
Kin,1.23E-05
Orion,0.951957
XT Stablecoin XTUSD,0.999698
A Hunters Dream,5.16E-08
GoGoPool ggAVAX,29.25
Gelato,0.131519
Alchemix,14.02
Sovryn,0.507161
Fracton Protocol,0.370931
DEAPCOIN,0.00119921
Gamer Arena,0.100061
Boba Oppa,0.00064474
Polkastarter,0.324076
Hive Dollar,0.953058
CrossFi,0.759965
Moon Tropica,11.45
SelfieDogCoin,0.03198046
Sentinel Protocol,0.064161
Zedxion,0.261163
Cronos Bridged WBTC (Cronos),63269
Voxies,0.159203
SaucerSwap,0.04447785
Peapods Finance,3.17
Bridged USD Coin (Linea),1.001
flexUSD,0.189181
Grok,0.00494843
littlemanyu,0.03247898
Bella Protocol,0.525489
Verasity,0.00312062
Bitgert,7.84E-08
SaitaChain Coin,0.0007301
Router Protocol,0.055297
Synternet,0.0491291
GraphLinq Chain,0.090537
ELYSIA,0.00451228
Basenji,0.03058853
Hatom,0.833422
Biswap,0.061035
Decubate,0.03202502
Dynex,0.316249
RAMP [OLD],0.07361
GameFi.org,2.76
Gleec Coin,0.16147
Numbers Protocol,0.04402902
Multibit,0.0316246
GT Protocol,0.822826
Groestlcoin,0.349343
Magpie,0.076132
AscendEx,0.04038319
Props,0.112201
Fideum,0.00745129
Velas,0.01125079
Streamr,0.03867401
Resistance Dog,0.296281
TRAC (Ordinals),1.4
Dexalot,0.563764
COMBO,0.413161
VIDT DAO,0.03480435
Connex,25.48
AIT Protocol,0.110681
Shrapnel,0.04400338
Kishu Inu,3.03E-10
Spacemesh,0.421457
Harvest Finance,43.46
PolySwarm,0.01547266
Aleph.im,0.155921
Sigma,0.03225699
SX Network,0.053204
Quickswap [OLD],39.04
LUKSO [OLD],1.85
XT.com,4.76
Agoric,0.04323567
VitaDAO,1.11
Dream Machine Token,47.73
LinqAI,0.134203
XSGD,0.765556
Stratos,0.441074
Samoyedcoin,0.00677081
Doge Killer,263.9
WeatherXM,0.505143
OORT,0.131278
Games for a Living,0.01786166
Tokocrypto,0.375688
GameSwift,0.070338
Zefi,0.03502
Rich Quack,6.31E-10
Mossland,0.067213
AhaToken,0.00499078
WigoSwap,0.01533423
Shark Cat,0.0283197
Dinero,0.050497
Euro Tether,1.083
Measurable Data,0.04565141
CEEK Smart VR,0.03042087
SWFTCOIN,0.00308199
Harambe on Solana,0.02747473
MAI,0.996485
AVA,0.500796
Rally,0.00545679
PlayDapp,0.04542508
Vaiot,0.079043
Paris Saint-Germain Fan Token,2.25
Hanu Yokia,1.82E-07
Uquid Coin,2.72
Layer3,0.062999
Save,0.669111
Pundi X [OLD],0.00011439
Quickswap,0.03648867
Plxyer,0.02078831
WAGMI Games,1.29E-05
Streamr XDATA,0.03864984
district0x,0.03578262
Brainlet,0.02676172
GXChain,0.356035
Hacken,0.04138402
SingularityDAO,0.292851
Linear,0.00389429
lmeow,0.02615298
Guild of Guardians,0.04060785
StrikeX,0.0312617
LandWolf,0.00260604
Quantum Resistant Ledger,0.330083
VeraOne,87.75
VaultCraft,0.03440345
Orderly Network,0.134827
ThetaDrop,0.00233488
Jackal Protocol,0.228168
zkLink,0.146287
StorX,0.056835
Decimal,0.00231776
EDUM,0.506604
Alpha Quark,0.937353
Strawberry AI,0.252357
OG Fan Token,6.63
HOPR,0.054688
AllianceBlock Nexera,0.03161059
Stronghold,0.00465674
Carry,0.0025016
Artrade,0.01526511
Masa,0.074467
Alpaca Finance,0.165361
Coinweb,0.00459946
Welshcorgicoin,0.0024784
cBAT,0.00365227
PinkSale,247.45
Electronic USD,1
Planet IX,0.198193
pSTAKE Finance,0.050568
HairDAO,38.12
Vertex,0.074506
Advertise Coin,0.545406
AMATERASU OMIKAMI,0.02405665
IRISnet,0.0151574
Fractal Bitcoin,7.72
Tranchess,0.139675
Sillynubcat,0.02424858
Keep3rV1,47.49
MakerDAO Optimism Bridged DAI (Optimism),0.998621
mfercoin,0.02418648
Propchain,1.3
Enzyme,16.53
Taraxa,0.00535725
ResearchCoin,0.25025
GME,0.00348004
